word,pronunciation,definition,example,audio,image,file,part_of_speech,word_uz
afraid,[əˈfreid],"When someone is afraid , they feel fear.",→ The woman was afraid of what she saw.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/21986.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/21986.jpg,assets\0\000.html,adj.,"qo'rqqan, cho'chigan"
agree,[əˈɡriː],To agree is to say “yes” or to think the same way.,→ A: The food is very good in that restaurant. B: I agree with you.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23061.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23061.jpg,assets\0\001.html,v.,"fikrga qo'shilmoq, rozi bo'lmoq"
angry,[ˈæŋɡrɪ],"When someone is angry , they may want to speak loudly or fight.","→ She didn’t do her homework, so her father is angry .",/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23062.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23062.jpg,assets\0\002.html,adj.,"jahli chiqqan, badjahl"
arrive,[əˈraɪv],To arrive is to get to or reach some place.,→ The bus always arrives at the corner of my street at 4:00.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23063.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23063.jpg,assets\0\003.html,v.,yetib kelmoq
attack,[əˈtæk],To attack is to try to fight or to hurt.,→ The man with the sword attacked the other man first.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23064.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23064.jpg,assets\0\004.html,v.,hujum qilmoq
bottom,[ˈbɒtəm],The bottom is the lowest part.,→ The bottom of my shoe has a hole in it.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23065.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23065.jpg,assets\0\005.html,n.,"tag, pastki qism"
clever,[ˈklɛv ər],"When someone is clever , they can solve a hard puzzle or problem.",→ The clever boy thought of a good idea.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23066.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23066.jpg,assets\0\006.html,adj.,"aqlli, ziyrak"
cruel,[ˈkruːəl],"When someone is cruel , they do bad things to hurt others.",→ The cruel man yelled at his sister.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23067.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23067.jpg,assets\0\007.html,adj.,"shavqatsiz, berahm"
finally,[ˈfaɪnəlɪ],"If something happens finally , it happens after a longtime or at the end.",→ He finally crossed the finish line after five hours of running.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23068.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23068.jpg,assets\0\008.html,adv.,"axiyri, vanihoyat"
hide,[haɪd],To hide is to try not to let others see you.,→ The other children will hide while you count to 100.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23069.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23069.jpg,assets\0\009.html,v.,"yashirinmoq, bekinmoq"
hunt,[hʌnt],To hunt is to look for or search for an animal to kill.,"→ Long ago, people hunted with bows and arrows.",/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23070.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23070.jpg,assets\0\010.html,v.,"ov qilmoq, ovlamoq"
lot,[lɒt],"A lot means a large number or amount of people, animals, things, etc.",→ There are a lot of apples in the basket.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23071.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23071.jpg,assets\0\011.html,n.,juda ko'p
middle,[mɪdl],The middle of something is the center or halfway point.,→ The Canadian flag has a maple leaf in the middle of it.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23072.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23072.jpg,assets\0\012.html,n.,o'rta
moment,[ˈmoʊmənt],A moment is a second or a very short time.,→ I was only a few moments late for the meeting.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23073.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23073.jpg,assets\0\013.html,n.,"sekund, on, zum"
pleased,[pli:zd],"When someone is pleased , they are happy.",→ She was pleased with the phone call she received.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23074.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23074.jpg,assets\0\014.html,adj.,"hursand, mamnun"
promise,[ˈprɒmɪs],To promise is to say you will do something for sure.,→ He promised to return my key by tomorrow.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23075.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23075.jpg,assets\0\015.html,v.,vada bermoq
reply,[rɪˈplaɪ],To reply is to give an answer or say back to someone.,"→ She asked him what time his meeting was. He replied , “at three.”",/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23076.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23076.jpg,assets\0\016.html,v.,javob bermoq
safe,[seɪf],"When a person is safe , they are not in danger.",→ Put on your seat belt in the car to be safe .,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23077.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23077.jpg,assets\0\017.html,adj.,"xavfsiz, bexatar"
trick,[trɪk],A trick is something you do to fool another person.,→ His card trick really surprised us.,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23078.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23078.jpg,assets\0\018.html,n.,"xiyla, nayrang, fokus"
well,[wɛl],You use well to say that something was done in a good way.,→ The couple can dance quite well .,/apps-data/4000-essential-english-words-1/data/Unit-1/wordlist/23079.mp3,/apps-data/4000-essential-english-words-1/data/unit-1/wordlist/23079.jpg,assets\0\019.html,adv.,yaxshi
adventure,[ədˈventʃər],An adventure is a fun or exciting thing that you do.,→ Riding in the rough water was an adventure .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/21994.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/21994.jpg,assets\0\020.html,n.,sarguzasht
approach,[əˈproʊtʃ],To approach something means to move close to it.,→ The boy approached his school.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23080.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23080.jpg,assets\0\021.html,v.,"yaqinlashtirmoq, yaqin kelmoq"
carefully,[kɛərfəli],"Carefully means with great attention, especially to detail or safety.",→ The baby carefully climbed down the stairs.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23081.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23081.jpg,assets\0\022.html,adv.,"e'tibor bilan, ehtiyotkorlik bilan"
chemical,[ˈkɛmɪkəl],A chemical is something that scientists use in chemistry.,→ The scientist mixed the chemicals .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23082.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23082.jpg,assets\0\023.html,n.,kimyoviy modda
create,[kriˈeit],To create means to make something new.,→ She created an igloo from blocks of snow.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23083.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23083.jpg,assets\0\024.html,v.,"yaratmoq, yasamoq"
evil,[ˈiːvəl],"Evil describes something or someone bad or cruel, not good.",→ The evil figure scared us all.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23084.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23084.jpg,assets\0\025.html,adj.,"yomon, yovuz"
experiment,[ikˈsperəmənt],An experiment is a test that you do to see what will happen.,→ The student did an experiment in science class.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23085.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23085.jpg,assets\0\026.html,n.,"tajriba, sinov"
kill,[kil],To kill someone or something is to make them die.,→ I killed the fly with a fly swatter.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23086.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23086.jpg,assets\0\027.html,v.,o'ldirmoq
laboratory,[ˈlӕbrəto:ri],A laboratory is a room where a scientist works.,→ My mother works in a laboratory .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23087.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23087.jpg,assets\0\028.html,n.,laboratoriya
laugh,[læf],Laugh is the sound made when someone is happy or a funny thing occurs.,→ The sound of their laugh filled the room.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23088.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23088.jpg,assets\0\029.html,n.,kulgi
loud,[laʊd],"If a sound is loud , it is strong and very easy to hear.",→ The man’s voice was so loud that we all could hear him.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23089.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23089.jpg,assets\0\030.html,adj.,"shovqinli, baland"
nervous,[ˈnɜr vəs],"When a person is nervous , they think something bad will happen.",→ The boy became nervous when he heard the news.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23090.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23090.jpg,assets\0\031.html,adj.,"xavotirlangan, xavotirga tushgan"
noise,[nɔɪz],A noise is an unpleasant sound.,→ The crying baby made a loud noise .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23091.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23091.jpg,assets\0\032.html,n.,"shovqin, yoqimsiz ovoz"
project,[ˈprodʒekt],A project is a type of work that you do for school ora job.,→ His afternoon work project was to paint the room green.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23092.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23092.jpg,assets\0\033.html,n.,"yumush, mahsus topshiriq"
scare,[skɛər],To scare someone is to make them feel afraid.,→ My uncle was scared by what he saw in the room.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23093.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23093.jpg,assets\0\034.html,v.,"qo'rqitmoq, daxshatga solmoq"
secret,[ˈsiːkrɪt],A secret is something that you do not tell other people.,→ The two boys were sharing a secret .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23094.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23094.jpg,assets\0\035.html,n.,sir
shout,[ʃaʊt],To shout is to say something loudly.,→ My boss shouted at me because I was late for work.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23095.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23095.jpg,assets\0\036.html,v.,"baqirmoq, qichqirmoq"
smell,[smel],To smell something means to use your nose to sense it.,→ The two friends smelled the flower.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23096.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23096.jpg,assets\0\037.html,v.,"hidlamoq, hidlab ko'rmoq"
terrible,[ˈtɛrəbəl],"If something is terrible , it is very bad.",→ The way he treated his classmate was terrible .,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23097.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23097.jpg,assets\0\038.html,adj.,juda yomon
worse,[wɜrs],"If something is worse , it is of poorer quality than another thing.",→ Business was worse this month than last month.,/apps-data/4000-essential-english-words-1/data/Unit-2/wordlist/23098.mp3,/apps-data/4000-essential-english-words-1/data/unit-2/wordlist/23098.jpg,assets\0\039.html,adj.,yomonroq
alien,[ˈeɪljən],An alien is a creature from a different world.,→ The alien came in peace.,/apps-data/4000-essential-english-words-1/data/Unit-3/wordlist/23118.mp3,/apps-data/4000-essential-english-words-1/data/unit-3/wordlist/23118.jpg,assets\0\040.html,n.,o'zga sayyoralik
among,[əˈmʌŋ],"If you are among certain things, they are all around you.",→ There was a red apple among the green ones.,/apps-data/4000-essential-english-words-1/data/Unit-3/wordlist/23119.mp3,/apps-data/4000-essential-english-words-1/data/unit-3/wordlist/23119.jpg,assets\0\041.html,prep.,orasida o'rtasida
chart,[tʃɑ:rt],A chart is a list of information.,→ We used a chart to see how we had improved.,/apps-data/4000-essential-english-words-1/data/Unit-3/wordlist/23120.mp3,/apps-data/4000-essential-english-words-1/data/unit-3/wordlist/23120.jpg,assets\0\042.html,n.,diagramma
cloud,[klaʊd],A cloud is a group of water drops in the sky.,→ The sky was filled with white clouds .,/apps-data/4000-essential-english-words-1/data/Unit-3/wordlist/23121.mp3,/apps-data/4000-essential-english-words-1/data/unit-3/wordlist/23121.jpg,assets\0\043.html,n.,bulut
comprehend,[ˌkɒmprɪˈhɛnd],To comprehend something is to understand it.,→ Henry could not comprehend the message.,/apps-data/4000-essential-english-words-1/data/Unit-3/wordlist/23122.mp3,/apps-data/4000-essential-english-words-1/data/unit-3/wordlist/23122.jpg,assets\0\044.html,v.,"tushunmoq, anglamoq"
